SMILES,Masse_Molaire
CCC(O)CO,90.121
O=C(O)c1cccnc1,123.1094
CNc1ccccc1N,122.1677
O=c1[nH]c2ncccc2n1C1CCNCC1,218.25506
CC1(CS(N)(=O)=O)NC(=O)NC1=O,207.20766
Nc1ncnc2c1C(=O)NCCO2,180.16402
CS(=O)(=O)c1ccc(=O)[nH]n1,174.17774
CN1CCCC(N)C1,114.18875
CCNC(=O)NC(C)(C)C,144.21474
Nc1ccccc1C(=O)Nc1ccccc1,212.24718
COCC1=NCCN1,114.1457
O=C(Nc1ccccc1)N1CCCC1,190.24166
Cc1ccc(F)c(NC(=O)Nc2ccccc2)c1,244.26422
CNCC(O)CON,120.15028
CN(C)C1c2ccccc2OC(C)(C)C1O,221.29545
c1ccc2c(-c3ccncn3)c[nH]c2c1,195.21996
O=C(NO)C1=CCCS1,145.17958
CNC(=O)C1Cc2ccccc2CN1,190.24166
c1ccc(-c2nc3ccccc3[nH]2)cc1,194.2319
NC(=O)c1ccccc1,121.13658
CNC(=O)C(CS(C)(=O)=O)NC(c1ccccc1)C(F)(F)F,338.34588
O=C1NCCc2[nH]ccc21,136.15122
CC#CCNc1ccccc1,145.20104
CS(=O)(=O)Nc1ccccc1F,189.20732
COCC(NC(=O)C(C)(C)N)c1nnnn1C,242.27821
CCC(Nc1c(NC)c(=O)c1=O)c1ccccc1,244.28904
O=C(Nc1cccc2[nH]ncc12)NC1CCCC1,244.29234
Nc1cccc2[nH]ncc12,133.15058
OCC1=CNCC=C1,111.14176
CNC(=O)CNC(=O)c1ccccc1,192.21447
CC(O)C(=O)NO,105.09258
Nc1ncnc2[nH]ccc12,134.13864
OCC1OCCC1O,118.13109
CC1OC(n2ccnc2)C(O)C1O,184.19248
OC(c1ccccc1)C1CNCCO1,193.24229
CNC(=O)C(F)(F)C(C)=O,151.11138
CC(N)C(=O)C(N)=O,116.11851
NC(N)=NC1=NC=CCC1,138.1704
Cc1ccccc1S(N)(=O)=O,171.21685
CCc1c(-c2ccccc2)[nH]c2ccccc12,221.297
NC(CS)CC1CCCCC1,173.31886
CC1=CCNCC1,97.15824
CNC(C(=O)O)C(C)C,131.17292
CN(C)Cc1ccc(-c2ccccc2O)[nH]1,216.27893
c1ccc2c(c1)CCNC2,133.19034
O=S(=O)(Nc1nnc(S)s1)c1ccccc1,273.35508
NS(=O)(=O)c1nncs1,165.19411
CCCC(=O)NC(CCC)C(=O)O,187.23618
O=C(O)Cc1cscn1,143.1637
CCC1CN(c2ccccc2)NC1=O,190.24166
CCC(=O)C(=O)O,102.08863
O=C(c1cc[nH]c1)C1CSC(c2cccnc2)N1,259.32682
OCC1(CO)CCCO1,132.15768
Cc1noc(NS(=O)(=O)c2ccsc2C)c1Cl,292.76235
CCC(C(N)=O)(c1ccccc1)c1ccccc1,239.31228
O=C(CN1CNc2ccccc2C1)NO,207.22911
CN1CSC(C)(C)C1C(=O)NC(C)(C)C,230.37018
NC(N)=NC1C=COCC1,141.17104
CNC(CNC(=O)Oc1ccccc1)c1ccccc1,270.32632
Nc1nc(N)c2ncccc2n1,161.16397
CC(N)CC(=O)O,103.11976
CN1CCCC1C(=O)O,129.15704
O=C1Cc2c(O)ccc(Cl)c2N1,183.59174
CCC(CC)C(=O)NO,131.17291
O=C(NC1CCCCC1)Oc1ccccc1,219.27958
CCCC(C)(C)O,102.17476
c1ccc2c(c1)CCNCC2,147.21691
OC(c1ccccc1)(C(F)(F)F)C(F)(F)F,244.13375
NC(=O)c1ccccc1O,137.13597
O=C(NO)C1CC=NO1,130.10203
CCOC(=O)NC(CC(=O)O)C(=O)CO,219.19192
Nc1ccccn1,94.11454
Cc1ccccc1CNC(=O)C1CSCCN1C,264.3864
O=C(O)Cc1ccccc1,136.14792
c1ccc2[nH]ccc2c1,117.14788
COCC(N)Cc1ccccc1,165.2322
CCC(CS)C(N)=O,133.21193
CNC(CS)C(=O)O,135.18475
Nc1cccc(O)c1,109.12588
C/C=C/CNC(=O)c1cc2ccccc2[nH]1,214.26305
CCC(N)C(O)C(=O)NC,146.18755
CCC(SC)C(=O)O,134.1967
N#Cc1cnc2ccccc2c1Nc1cccc(Cl)c1,279.7237
Oc1ccccc1CNC1CCCNC1c1ccccc1,282.38008
Oc1ccc2ccsc2c1,150.19764
CN(S)CC(=O)NO,136.17282
NCC(=O)NO,90.08124
CSCCO,92.16001
CC(=O)/C=C(\O)C(=O)O,130.09874
C/C=C(\O)C(=O)O,102.08864
c1ccc(CCNCc2ccccc2)cc1,211.30218
CCC(CC)C(=O)NC1c2ccccc2CC1O,247.33273
CNC1c2ccccc2CC1O,163.21632
O=C(O)CC1CCCCC1,142.19556
O=C(O)c1ccccc1F,140.1118
O=C(NCc1ccccc1)C1C(=O)NCc2ccccc21,280.32114
C/C=C/C(=O)NC(C)CCC,155.23737
CNc1ccccc1O,123.15246
COCCNC(C)=O,117.14634
O=S(=O)(NNc1ccccc1)c1ccccc1,248.30088
O=S(=O)(Nc1ccccc1)c1ccccc1,233.28624
CCCCNC(=O)OC(C)(C)C,173.25265
CCCCNC(=N)N,115.17682
CCC(NC)C(=O)NCCc1ccccc1,220.31069
NC(=O)CCS,105.15877
